"","division","season","year","sex","cw","mature","ncrab","tows","ncrabS","npt","nptS"
"145","2HJ","Fall",1995,1,102,"Mat",10,116,17.6214117550843,0.0862068965517241,0.151908722026589
"146","2HJ","Fall",1995,1,102,"Unk",1,116,1.76214117550843,0.00862068965517241,0.0151908722026589
"147","2HJ","Fall",1995,1,103,"Imm",1,116,1.75514186835573,0.00862068965517241,0.0151305333478942
"148","2HJ","Fall",1995,1,103,"Mat",7,116,12.2859930784901,0.0603448275862069,0.10591373343526
"149","2HJ","Fall",1995,1,104,"Imm",2,116,3.49643826334409,0.0172413793103448,0.0301417091667594
"150","2HJ","Fall",1995,1,104,"Mat",4,116,6.99287652668818,0.0344827586206897,0.0602834183335188
"151","2HJ","Fall",1995,1,104,"Unk",1,116,1.74821913167204,0.00862068965517241,0.0150708545833797
"152","2HJ","Fall",1995,1,105,"Mat",10,116,17.4137212779779,0.0862068965517241,0.15011828687912
"153","2HJ","Fall",1995,1,105,"Unk",2,116,3.48274425559558,0.0172413793103448,0.0300236573758239
"154","2HJ","Fall",1995,1,106,"Mat",13,116,22.5498003670828,0.112068965517241,0.194394830750714
"155","2HJ","Fall",1995,1,106,"Unk",1,116,1.73460002823714,0.00862068965517241,0.0149534485192857
"156","2HJ","Fall",1995,1,107,"Imm",2,116,3.45580402711559,0.0172413793103448,0.0297914140268585
"157","2HJ","Fall",1995,1,107,"Mat",11,116,19.0069221491357,0.0948275862068965,0.163852777147722
"158","2HJ","Fall",1995,1,107,"Unk",3,116,5.18370604067338,0.0258620689655172,0.0446871210402878
"159","2HJ","Fall",1995,1,108,"Imm",1,116,1.7212772732918,0.00862068965517241,0.01483859718355
"160","2HJ","Fall",1995,1,108,"Mat",9,116,15.4914954596262,0.0775862068965517,0.13354737465195
"161","2HJ","Fall",1995,1,108,"Unk",1,116,1.7212772732918,0.00862068965517241,0.01483859718355
"162","2HJ","Fall",1995,1,109,"Imm",3,116,5.14417501751248,0.0258620689655172,0.0443463363578662
"163","2HJ","Fall",1995,1,109,"Mat",7,116,12.0030750408625,0.0603448275862069,0.103474784835021
"164","2HJ","Fall",1995,1,109,"Unk",1,116,1.71472500583749,0.00862068965517241,0.0147821121192887
"165","2HJ","Fall",1995,1,110,"Imm",1,116,1.70824441836253,0.00862068965517241,0.0147262449858839
"166","2HJ","Fall",1995,1,110,"Mat",2,116,3.41648883672506,0.0172413793103448,0.0294524899717678
"167","2HJ","Fall",1995,1,111,"Mat",5,116,8.50917363353959,0.0431034482758621,0.0733549451167206
"168","2HJ","Fall",1995,1,111,"Unk",1,116,1.70183472670792,0.00862068965517241,0.0146709890233441
"169","2HJ","Fall",1995,1,112,"Mat",7,116,11.868466087052,0.0603448275862069,0.102314362819414
"170","2HJ","Fall",1995,1,112,"Unk",2,116,3.39099031058628,0.0172413793103448,0.029232675091261
"171","2HJ","Fall",1995,1,113,"Imm",1,116,1.68922493702232,0.00862068965517241,0.0145622839398476
"172","2HJ","Fall",1995,1,113,"Mat",8,116,13.5137994961786,0.0689655172413793,0.116498271518781
"173","2HJ","Fall",1995,1,113,"Unk",1,116,1.68922493702232,0.00862068965517241,0.0145622839398476
"174","2HJ","Fall",1995,1,114,"Mat",7,116,11.7811631923399,0.0603448275862069,0.101561751658102
"175","2HJ","Fall",1995,1,114,"Unk",1,116,1.68302331319141,0.00862068965517241,0.0145088216654432
"176","2HJ","Fall",1995,1,115,"Mat",8,116,13.4151162671707,0.0689655172413793,0.115647554027334
"177","2HJ","Fall",1995,1,115,"Unk",1,116,1.67688953339634,0.00862068965517241,0.0144559442534168
"178","2HJ","Fall",1995,1,116,"Mat",4,116,6.68329142176916,0.0344827586206897,0.0576145812221479
"179","2HJ","Fall",1995,1,116,"Unk",1,116,1.67082285544229,0.00862068965517241,0.014403645305537
"180","2HJ","Fall",1995,1,117,"Mat",8,116,13.3185803620305,0.0689655172413793,0.114815347948539
"181","2HJ","Fall",1995,1,117,"Unk",1,116,1.66482254525381,0.00862068965517241,0.0143519184935673
"182","2HJ","Fall",1995,1,118,"Mat",7,116,11.6122151375024,0.0603448275862069,0.100105302909504
"183","2HJ","Fall",1995,1,118,"Unk",2,116,3.31777575357212,0.0172413793103448,0.028601515117001
"184","2HJ","Fall",1995,1,119,"Mat",7,116,11.5711269235583,0.0603448275862069,0.0997510941686062
"185","2HJ","Fall",1995,1,120,"Mat",5,116,8.23606300230028,0.0431034482758621,0.0710005431232782
"186","2HJ","Fall",1995,1,120,"Unk",1,116,1.64721260046006,0.00862068965517241,0.0142001086246556
"187","2HJ","Fall",1995,1,121,"Mat",3,116,4.92441173963738,0.0258620689655172,0.0424518253417015
"188","2HJ","Fall",1995,1,122,"Imm",1,116,1.63579137540262,0.00862068965517241,0.0141016497879536
"189","2HJ","Fall",1995,1,122,"Mat",10,116,16.3579137540262,0.0862068965517241,0.141016497879536
"190","2HJ","Fall",1995,1,123,"Mat",3,116,4.89052289951958,0.0258620689655172,0.0421596801682723
"191","2HJ","Fall",1995,1,124,"Mat",2,116,3.24923734703572,0.0172413793103448,0.0280106667847907
"192","2HJ","Fall",1995,1,125,"Mat",1,116,1.61912382419905,0.00862068965517241,0.0139579640017159
"193","2HJ","Fall",1995,1,126,"Mat",2,116,3.22737817399991,0.0172413793103448,0.0278222256379303
"194","2HJ","Fall",1995,1,128,"Mat",4,116,6.41198930286267,0.0344827586206897,0.0552757698522644
"195","2HJ","Fall",1995,1,129,"Mat",2,116,3.19547801582863,0.0172413793103448,0.0275472242743847
"196","2HJ","Fall",1995,1,131,"Mat",2,116,3.17478863320369,0.0172413793103448,0.027368867527618
"197","2HJ","Fall",1995,1,132,"Mat",1,116,1.58230669137046,0.00862068965517241,0.0136405749256074
"198","2HJ","Fall",1995,1,139,"Mat",1,116,1.54821808164559,0.00862068965517241,0.013346707600393
"199","2HJ","Fall",1995,1,143,"Mat",1,116,1.52988547697021,0.00862068965517241,0.0131886679049156
"200","2HJ","Fall",1995,2,10,"Imm",3,116,8.64751577606117,0.0258620689655172,0.0745475497936308
"201","2HJ","Fall",1995,2,11,"Imm",3,116,8.58974844238288,0.0258620689655172,0.0740495555377834
"202","2HJ","Fall",1995,2,12,"Imm",2,116,5.68840871148727,0.0172413793103448,0.049038006133511
"203","2HJ","Fall",1995,2,13,"Imm",4,116,11.3014703162069,0.0344827586206897,0.0974264682431628
"204","2HJ","Fall",1995,2,14,"Imm",10,116,28.0673687144559,0.0862068965517241,0.24196007512462
"205","2HJ","Fall",1995,2,15,"Imm",12,116,33.4597197430426,0.103448275862069,0.288445859853816
"206","2HJ","Fall",1995,2,16,"Imm",11,116,30.47093137879,0.0948275862068965,0.262680442920603
"207","2HJ","Fall",1995,2,17,"Imm",9,116,24.7685286851795,0.0775862068965517,0.213521799010169
"208","2HJ","Fall",1995,2,18,"Imm",21,116,57.4188302818938,0.181034482758621,0.494989916223223
"209","2HJ","Fall",1995,2,19,"Imm",33,116,89.6476787374887,0.28448275862069,0.772824816702489
"210","2HJ","Fall",1995,2,20,"Imm",26,116,70.1780441690835,0.224137931034483,0.604983139388651
"211","2HJ","Fall",1995,2,21,"Imm",16,116,42.9104889892276,0.137931034482759,0.369918008527824
"212","2HJ","Fall",1995,2,22,"Imm",11,116,29.3132871756489,0.0948275862068965,0.252700751514215
"213","2HJ","Fall",1995,2,23,"Imm",4,116,10.5918786445431,0.0344827586206897,0.0913092986598545
"214","2HJ","Fall",1995,2,24,"Imm",5,116,13.1563981864874,0.0431034482758621,0.113417225745581
"215","2HJ","Fall",1995,2,25,"Imm",2,116,5.2295443953344,0.0172413793103448,0.0450822792701241
"216","2HJ","Fall",1995,2,26,"Imm",3,116,7.79533603447382,0.0258620689655172,0.0672011727109812
"217","2HJ","Fall",1995,2,27,"Imm",6,116,15.4937826192035,0.0517241379310345,0.133567091544858
"218","2HJ","Fall",1995,2,28,"Imm",1,116,2.5663255188382,0.00862068965517241,0.0221234958520535
"219","2HJ","Fall",1995,2,30,"Imm",1,116,2.53490461271546,0.00862068965517241,0.021852625971685
"220","2HJ","Fall",1995,2,31,"Imm",2,116,5.03890297797426,0.0172413793103448,0.0434388187756401
"221","2HJ","Fall",1995,2,32,"Imm",1,116,2.50416741812443,0.00862068965517241,0.0215876501562451
"222","2HJ","Fall",1995,2,34,"Imm",2,116,4.94819811532577,0.0172413793103448,0.0426568803045325
"223","2HJ","Fall",1995,2,35,"Imm",2,116,4.91862225951147,0.0172413793103448,0.0424019160302713
"224","2HJ","Fall",1995,2,37,"Imm",2,116,4.86043766317113,0.0172413793103448,0.0419003246825097
"225","2HJ","Fall",1995,2,37,"Mat",2,116,4.86043766317113,0.0172413793103448,0.0419003246825097
"226","2HJ","Fall",1995,2,38,"Imm",1,116,2.41591094111897,0.00862068965517241,0.0208268184579222
"227","2HJ","Fall",1995,2,39,"Imm",2,116,4.8035191499708,0.0172413793103448,0.0414096478445758
"228","2HJ","Fall",1995,2,40,"Mat",1,116,2.38776302085227,0.00862068965517241,0.0205841639728644
"229","2HJ","Fall",1995,2,41,"Mat",3,116,7.12175875535841,0.0258620689655172,0.0613944720289518
"230","2HJ","Fall",1995,2,42,"Mat",3,116,7.08068277814312,0.0258620689655172,0.0610403687770959
"231","2HJ","Fall",1995,2,43,"Imm",1,116,2.3466853868892,0.00862068965517241,0.0202300464387
"232","2HJ","Fall",1995,2,43,"Mat",6,116,14.0801123213352,0.0517241379310345,0.1213802786322
"233","2HJ","Fall",1995,2,44,"Imm",1,116,2.33329132902052,0.00862068965517241,0.0201145804225907
"234","2HJ","Fall",1995,2,44,"Mat",2,116,4.66658265804104,0.0172413793103448,0.0402291608451814
"235","2HJ","Fall",1995,2,45,"Imm",1,116,2.32004379841099,0.00862068965517241,0.0200003775725085
"236","2HJ","Fall",1995,2,45,"Mat",5,116,11.600218992055,0.0431034482758621,0.100001887862543
"237","2HJ","Fall",1995,2,46,"Imm",1,116,2.30694119209324,0.00862068965517241,0.0198874240697693
"238","2HJ","Fall",1995,2,46,"Mat",3,116,6.92082357627973,0.0258620689655172,0.059662272209308
"239","2HJ","Fall",1995,2,48,"Mat",1,116,2.28116442795187,0.00862068965517241,0.019665210585792
"240","2HJ","Fall",1995,2,49,"Mat",2,116,4.53697430221668,0.0172413793103448,0.0391118474329024
"241","2HJ","Fall",1995,2,50,"Mat",2,116,4.51189712027872,0.0172413793103448,0.0388956648299889
"242","2HJ","Fall",1995,2,51,"Mat",3,116,6.73064141358039,0.0258620689655172,0.0580227708067275
"243","2HJ","Fall",1995,2,52,"Imm",1,116,2.23128138368342,0.00862068965517241,0.0192351843420985
"244","2HJ","Fall",1995,2,52,"Mat",3,116,6.69384415105027,0.0258620689655172,0.0577055530262954
"245","2HJ","Fall",1995,2,53,"Imm",1,116,2.21914981343802,0.00862068965517241,0.0191306018399829
"246","2HJ","Fall",1995,2,53,"Mat",3,116,6.65744944031406,0.0258620689655172,0.0573918055199488
"247","2HJ","Fall",1995,2,54,"Imm",1,116,2.20715095918912,0.00862068965517241,0.0190271634412855
"248","2HJ","Fall",1995,2,55,"Mat",1,116,2.19528336906072,0.00862068965517241,0.0189248566298338
"249","2HJ","Fall",1995,2,56,"Mat",1,116,2.18354560705993,0.00862068965517241,0.0188236690263787
"250","2HJ","Fall",1995,2,57,"Imm",1,116,2.17193625290323,0.00862068965517241,0.0187235883870968
"251","2HJ","Fall",1995,2,57,"Mat",2,116,4.34387250580646,0.0172413793103448,0.0374471767741936
"252","2HJ","Fall",1995,2,58,"Mat",1,116,2.1604539018446,0.00862068965517241,0.0186246026021086
"253","2HJ","Fall",1995,2,65,"Mat",1,116,2.08351871771449,0.00862068965517241,0.0179613682561594
"254","2HJ","Fall",1995,2,66,"Mat",2,116,4.1460072596844,0.0172413793103448,0.035741441893831
"255","2HJ","Fall",1995,2,72,"Mat",1,116,2.01228521134308,0.00862068965517241,0.0173472863046817
"256","2HJ","Fall",1995,2,74,"Mat",1,116,1.99292009208359,0.00862068965517241,0.0171803456214102
"257","2HJ","Fall",1995,2,81,"Mat",1,116,1.92840086312073,0.00862068965517241,0.0166241453717304
